song,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
"Paint It, Black - Mono",The Rolling Stones,0.505,0.836,-7.384,0.101,0.0103,0.0771,0.295,0.764,159.669,1RJeiAIwR9pZBgJA8ndZLL,204480
Limelight,Rush,0.581,0.854,-8.485,0.0428,0.00197,0.0013,0.111,0.788,131.18,0K6yUnIKNsFtfIpTgGtcHm,259840
Under Pressure,Queen,0.672,0.699,-7.831,0.0475,0.395,0.0,0.094,0.46,113.737,6suU8oBlW4O2pg88tOXgHo,244485
Hey Joe,Jimi Hendrix,0.346,0.768,-5.695,0.0377,0.00603,0.38,0.0244,0.532,169.492,0NWPxcsf5vdjdiFUI8NgkP,210160
Don't Cry (Original),Guns N' Roses,0.456,0.59,-8.638,0.0327,0.00182,0.00379,0.104,0.243,124.635,2N2yrmodOnVF10mKvItC9P,283733
Mississippi Queen,Mountain,0.581,0.624,-8.346,0.0777,0.0987,0.0,0.0411,0.637,139.714,4vO9dmzNRqDhFY3jD1a3P7,151293
Immigrant Song - Remaster,Led Zeppelin,0.567,0.931,-10.361,0.0544,0.0119,0.159,0.342,0.623,112.948,2uuMXKKmdXrY2XxsqTsGp0,146747
All Right Now,Free,0.787,0.472,-12.824,0.0832,0.221,0.000336,0.153,0.824,120.059,1gcESexgftSuLuML57Y69q,330643
Sharp Dressed Man - 2008 Remaster,ZZ Top,0.601,0.859,-5.263,0.0276,0.000359,0.00124,0.0871,0.446,125.145,1UBQ5GK8JaQjm5VbkBZY66,258027
Born in the U.S.A.,Bruce Springsteen,0.398,0.952,-6.042,0.061,0.000373,7.75e-05,0.1,0.584,122.093,0dOg1ySSI7NkpAe89Zo0b9,278680
My Sharona,The Knack,0.586,0.7,-9.558,0.0363,0.0589,0.00125,0.0318,0.897,147.245,1HOMkjp0nHMaTnfAkslCQj,295400
Every Breath You Take,The Police,0.82,0.452,-9.796,0.0348,0.543,0.00294,0.0714,0.74,117.401,1JSTJqkT5qHq8MDJnJbRE1,253920
Old Time Rock & Roll,Bob Seger,0.714,0.937,-2.947,0.0399,0.206,0.0,0.0731,0.964,124.13,5EOoMWIB9iK4ZpcSex9Ec7,194147
Have You Ever Seen The Rain,Creedence Clearwater Revival,0.741,0.697,-7.028,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,2LawezPeJhN4AWuSB0GtAU,160133
Back on the Chain Gang - 2007 Remaster,Pretenders,0.598,0.901,-6.081,0.0359,0.116,0.0401,0.178,0.814,153.24,4cMHCRLPNoEbpnl2rz6GS9,231120
Uprising,Muse,0.602,0.905,-4.046,0.0775,0.000202,0.064,0.117,0.411,128.019,4VqPOruhp5EdPBeR92t6lQ,304840
Sunshine Of Your Love,Cream,0.683,0.594,-8.289,0.0347,0.385,8.61e-05,0.121,0.734,115.099,2K2M0TcglCRLLpFOzKeFZA,250400
Back In Black,AC/DC,0.31,0.7,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,08mG3Y1vljYA6bvDt4Wqkj,255493
Heroes - 2017 Remaster,David Bowie,0.489,0.758,-6.491,0.0297,0.000678,0.49,0.092,0.435,112.113,7Jh1bpe76CNTCgdgAdBw4Z,371413
Life in the Fast Lane - 2013 Remaster,Eagles,0.667,0.755,-7.246,0.069,0.0966,6.94e-05,0.0523,0.883,109.535,3w6wDlhf8jA35Mlu3rCp1p,286220
Peace of Mind,Boston,0.419,0.677,-6.183,0.0343,0.00101,9.99e-05,0.211,0.684,127.678,1GqlvSEtMx5xbGptxOTTyk,303587
Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,0.404,0.72,-9.18,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,6GtX0jaNL8IjVQfrDBx81z,258467
Light My Fire,The Doors,0.413,0.725,-5.787,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,5uvosCdMlFdTXhoazkTI5R,429760
Layla,Derek & The Dominos,0.411,0.899,-3.876,0.0645,0.57,0.274,0.3,0.495,115.686,4FzVgf3e1KGwRbFRWPI05W,426560
I Love Rock 'N Roll,Joan Jett & the Blackhearts,0.535,0.716,-5.025,0.0431,0.326,0.0,0.659,0.901,94.379,2Cdvbe2G4hZsnhNMKyGrie,175173
Californication,Red Hot Chili Peppers,0.592,0.765,-2.788,0.027,0.0021,0.00154,0.127,0.327,96.483,36yEvxCX51FpalSaJcRjGq,329733
I Want To Hold Your Hand - Remastered 2015,The Beatles,0.49,0.715,-5.549,0.0476,0.386,0.0,0.311,0.866,130.726,4pbG9SUmWIvsROVLF0zF9s,145747
Sweet Home Alabama,Lynyrd Skynyrd,0.596,0.605,-12.145,0.0255,0.181,0.000331,0.0863,0.886,97.798,7e89621JPkKaeDSTQ3avtg,283800
Smells Like Teen Spirit,Nirvana,0.502,0.912,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4CeeEOM32jQcH3eN9Q2dGj,301920
Go Your Own Way - 2004 Remaster,Fleetwood Mac,0.583,0.947,-5.12,0.0378,0.0185,0.00109,0.0679,0.803,135.448,07GvNcU1WdyZJq3XxP0kZa,223613
Sunday Bloody Sunday - Remastered 2008,U2,0.543,0.944,-7.495,0.0543,0.402,0.000564,0.0373,0.735,101.174,4nuUssdgKFy2QyYHHNkZQW,279440
Don't Stop Believin',Journey,0.5,0.748,-9.072,0.0363,0.127,0.0,0.447,0.514,118.852,4bHsxqR3GMrXTxEPLuK5ue,250987
Learn to Fly,Foo Fighters,0.465,0.919,-4.025,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,5OQsiBsky2k2kDKy2bX2eT,235293
The Boys Are Back In Town,Thin Lizzy,0.445,0.706,-9.803,0.0461,0.234,0.000252,0.205,0.768,80.823,43DeSV93pJPT4lCZaWZ6b1,266720
Zombie - Remastered 2020,The Cranberries,0.294,0.683,-6.14,0.0363,0.0301,0.00901,0.357,0.229,167.654,5qYgHPz9BgMnuIbAFRrZiD,307813
Won't Get Fooled Again - Remix,The Who,0.698,0.839,-9.859,0.0441,0.244,0.242,0.0594,0.253,134.895,4Ke1gkrPvW9MOKvVQEtc8d,512360
Iron Man,Black Sabbath,0.332,0.769,-11.503,0.0765,0.00367,0.00413,0.0372,0.525,157.378,0TI8TP4FitVPoEHPTySx48,354774
You Really Got Me,The Kinks,0.573,0.939,-6.441,0.0808,0.493,0.0,0.0994,0.963,137.382,29SyMC0plk6qw8NMF7lfRL,134253
Ramble On - 1990 Remaster,Led Zeppelin,0.468,0.607,-11.367,0.0336,0.072,0.000852,0.225,0.886,98.429,3MODES4TNtygekLl146Dxd,263333
Sweet Child O' Mine,Guns N' Roses,0.446,0.952,-5.321,0.0523,0.0901,0.0857,0.112,0.624,125.303,7snQQk1zcKl8gZ92AnueZW,356067
Smoke On The Water - Remastered 2012,Deep Purple,0.598,0.676,-9.211,0.0279,0.13,0.225,0.112,0.805,114.169,5MMnwYs0hIxkENRsbkWJ2G,340742
She Sells Sanctuary,The Cult,0.55,0.765,-8.684,0.0287,4.76e-06,0.873,0.132,0.419,139.46,3qLZ866ZfaK0B0R5FIqXLG,252533
Honky Tonk Women - Mono Version,The Rolling Stones,0.562,0.779,-6.705,0.0592,0.363,0.0292,0.066,0.967,119.602,3RZMzCvYsmJ0u2ioKTOsmJ,179387
Wonderwall - Remastered,Oasis,0.378,0.896,-4.066,0.0407,0.000452,0.0,0.194,0.469,174.302,5qqabIl2vWzo9ApSC317sa,258773
Interstate Love Song - 2019 Remaster,Stone Temple Pilots,0.215,0.927,-7.327,0.0452,0.000273,0.00661,0.126,0.49,170.814,6qLEOZvf5gI7kWE63JE7p3,194853
Rock You Like a Hurricane - 2015 - Remaster,Scorpions,0.402,0.873,-3.209,0.0586,0.00484,7.3e-05,0.157,0.684,125.443,2fICdpdRotwfmGYzvs8Ngf,253667
Dust in the Wind,Kansas,0.475,0.322,-10.687,0.0283,0.367,0.00056,0.11,0.387,93.503,6zeE5tKyr8Nu882DQhhSQI,206267
Surrender,Cheap Trick,0.524,0.953,-7.097,0.0416,0.00757,5.02e-06,0.771,0.869,133.828,669cOBjpY4Y5O98Nmk6139,253827
Long Train Runnin',The Doobie Brothers,0.575,0.912,-7.275,0.0393,0.0916,0.00211,0.0562,0.843,117.399,4nXkbcTj3nyww1cHkw5RAP,207267
Edge of Seventeen - 2016 Remaster,Stevie Nicks,0.591,0.804,-7.299,0.0454,0.327,5.98e-06,0.0818,0.658,111.457,5LNiqEqpDc8TuqPy79kDBu,329413
Tom Sawyer,Rush,0.536,0.901,-7.211,0.0374,0.00145,0.0186,0.06,0.666,87.559,3QZ7uX97s82HFYSmQUAN1D,276880
Fly Away,Lenny Kravitz,0.587,0.872,-5.066,0.0484,0.018,0.0,0.622,0.735,159.925,1OxcIUqVmVYxT6427tbhDW,221333
Message In A Bottle,The Police,0.577,0.808,-7.04,0.039,0.0338,1.33e-05,0.221,0.869,151.008,1oYYd2gnWZYrt89EBXdFiO,290280
Master Of Puppets,Metallica,0.543,0.836,-9.11,0.0353,0.000647,0.431,0.153,0.56,105.173,2MuWTIM3b0YEAskbeeFE1i,515387
(Don't Fear) The Reaper,Blue Öyster Cult,0.333,0.927,-8.55,0.0733,0.0029,0.000208,0.297,0.385,141.466,5QTxFnGygVM4jFQiBovmRo,308120
Paradise City,Guns N' Roses,0.268,0.98,-5.958,0.103,0.0192,0.00709,0.182,0.395,100.315,6eN1f9KNmiWEhpE2RhQqB5,405600
Sweet Emotion,Aerosmith,0.379,0.76,-10.961,0.0378,0.00298,0.0296,0.104,0.491,99.436,73TxYZd0lBCVRrHawrAglA,274088
Stairway to Heaven - Remaster,Led Zeppelin,0.338,0.34,-12.049,0.0339,0.58,0.0032,0.116,0.197,82.433,5CQ30WqJwcep0pYcV4AMNc,482830
Dreams - 2004 Remaster,Fleetwood Mac,0.828,0.492,-9.744,0.0276,0.0644,0.00428,0.128,0.789,120.151,0ofHAoxe9vBkTCp2UQIavz,257800
Bohemian Rhapsody,Queen,0.39,0.397,-9.963,0.0513,0.287,0.0,0.207,0.246,144.031,3z8h0TU7ReDPLIbEnYhWZb,354947
Money - 2011 Remastered Version,Pink Floyd,0.47,0.505,-11.966,0.171,0.0194,0.00104,0.206,0.767,124.065,7Gx2q0ueNwvDp2BOZYGCMO,380080
Under the Bridge,Red Hot Chili Peppers,0.559,0.345,-13.495,0.0465,0.0571,0.000106,0.141,0.466,84.581,3psoSJWD7eYrA9yO6QeRIc,264307
The Boys Of Summer,Don Henley,0.516,0.549,-13.741,0.0373,0.501,0.00572,0.184,0.907,176.941,4gvea7UlDkAvsJBPZAd4oB,288733
Highway to Hell,AC/DC,0.574,0.913,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,2zYzyRzz6pRmhPzyfMEC8s,208400
You Give Love A Bad Name,Bon Jovi,0.541,0.96,-2.947,0.0505,0.0663,2.25e-06,0.344,0.812,122.803,0rmGAIH9LNJewFw7nKzZnc,222707
Basket Case,Green Day,0.442,0.943,-3.205,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,3wr2d7pc6n1uKXOXZCX8LT,181533
When Doves Cry - 2015 Paisley Park Remaster,Prince,0.812,0.98,-5.522,0.0568,0.0202,3.09e-05,0.369,0.861,126.69,5wYgc53ayonbzaDc0o3bAP,353453
Bad Moon Rising,Creedence Clearwater Revival,0.508,0.774,-5.973,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,20OFwXhEXf12DzwXmaV7fj,141600
Black Hole Sun,Soundgarden,0.35,0.828,-5.373,0.041,0.000217,0.000161,0.0774,0.147,105.435,2EoOZnxNgtmZaD8uUmz2nD,318587
Need You Tonight,INXS,0.795,0.63,-7.217,0.0841,0.0419,0.575,0.0894,0.785,108.701,3h04eZTnmFLRMjZajbrp2R,181107
Magic Carpet Ride,Steppenwolf,0.64,0.651,-14.981,0.0517,0.142,0.28,0.0341,0.801,111.676,4c4jJJoaiY21t2TyRZgdWS,271573
Midnight Rider,Allman Brothers Band,0.585,0.532,-9.673,0.0268,0.209,0.00797,0.227,0.68,94.461,1hHGUdFaiJHw9hVZGJWYO2,180067
Free Fallin',Tom Petty,0.623,0.449,-13.333,0.0253,0.212,0.0,0.0613,0.572,84.383,5tVA6TkbaAH9QMITTQRrNv,256000
Come Together - Remastered 2009,The Beatles,0.533,0.376,-11.913,0.0393,0.0302,0.248,0.0926,0.187,165.007,2EqlS6tkEnglzr7tkKAAYD,259947
November Rain - 2022 Version,Guns N' Roses,0.252,0.797,-3.877,0.0328,0.00458,0.424,0.344,0.199,77.972,3q9npStSssk7sZWotiNQLK,535733
One Way Or Another - Remastered 2001,Blondie,0.45,0.877,-6.403,0.0532,0.0118,4.95e-05,0.0699,0.896,162.477,5Th6EdNVhxp0TPX41ZLZk6,212707
Behind Blue Eyes,The Who,0.41,0.53,-10.793,0.0342,0.126,2.36e-05,0.285,0.263,128.556,400uRbJuxqvlupwyJzUtVN,221693
Break on Through (To the Other Side),The Doors,0.421,0.751,-9.584,0.0472,0.2,0.0,0.17,0.789,89.839,6ToM0uwxtPKo9CMpbPGYvM,145867
Here I Go Again - 2018 Remaster,Whitesnake,0.292,0.823,-6.763,0.0407,0.0117,7.79e-05,0.155,0.244,89.939,6Nd6ntkzr4t8o1FKPGOSMt,275395
Carry on Wayward Son,Kansas,0.482,0.786,-5.735,0.032,0.00321,8.88e-05,0.446,0.793,126.755,4DMKwE2E2iYDKY01C335Uw,323000
Wish You Were Here,Pink Floyd,0.499,0.318,-13.776,0.0485,0.718,0.00101,0.379,0.282,121.498,1HzDhHApjdjXPLHF6GGYhu,321080
Heart-Shaped Box,Nirvana,0.256,0.641,-10.283,0.0552,0.199,0.0329,0.0853,0.382,203.006,11LmqTE2naFULdEP94AUBa,281160
Sabotage,Beastie Boys,0.324,0.938,-7.332,0.102,0.032,0.0321,0.0961,0.543,168.131,0Puj4YlTm6xNzDDADXHMI9,178440
I Hate Myself for Loving You,Joan Jett & the Blackhearts,0.611,0.882,-11.225,0.0538,0.0847,1.08e-06,0.192,0.605,117.932,2HXixVqzzm9rEUIMAWzshl,246800
Bitter Sweet Symphony,The Verve,0.356,0.917,-6.006,0.0479,0.0335,0.0,0.406,0.518,171.176,57iDDD9N9tTWe75x6qhStw,357267
Alive,Pearl Jam,0.284,0.875,-6.069,0.0422,0.00752,0.000461,0.402,0.595,75.009,1L94M3KIu7QluZe63g64rv,340907
Loser,Beck,0.615,0.616,-10.39,0.133,0.0399,0.000129,0.348,0.836,170.776,5NTZM8YYeKM2YsGSffVIge,235000
Feel like Makin' Love - 2015 Remaster,Bad Company,0.534,0.546,-9.67,0.031,0.347,0.0036,0.633,0.762,85.357,2ljs8aTckRnCuQP9MxqoFO,314600
Purple Haze,Jimi Hendrix,0.533,0.905,-5.27,0.0754,0.00876,0.578,0.0698,0.486,108.9,0wJoRiX5K5BxlqZTolB2LD,170813
Kickstart My Heart,Mötley Crüe,0.465,0.977,-3.839,0.175,0.00111,0.00298,0.201,0.233,89.535,6imjJij6aCM0IbbODUzJQn,284027
No One Knows,Queens of the Stone Age,0.515,0.533,-5.897,0.0527,0.0354,9.22e-05,0.0597,0.721,170.933,1YnhZQVBPvV2sOKT5NYHBq,280653
1979 - Remastered 2012,The Smashing Pumpkins,0.767,0.787,-9.897,0.0331,0.0163,0.583,0.0513,0.964,126.879,5QLHGv0DfpeXLNFo7SFEy1,266200
The Joker,Steve Miller Band,0.596,0.448,-9.616,0.0396,0.365,5.3e-06,0.206,0.796,83.293,1bp2IO61zbQrbWNmKKxg3f,264504
Just What I Needed,The Cars,0.619,0.579,-9.307,0.0473,0.0152,6.4e-05,0.0858,0.69,127.224,4alHo6RGd0D3OUbTPExTHN,225627
More Than a Feeling,Boston,0.377,0.681,-8.039,0.0298,0.00088,0.0023,0.0504,0.285,108.789,1QEEqeFIZktqIpPI4jSVSF,285133
Say It Ain't So,Weezer,0.634,0.551,-7.136,0.0352,0.00737,1.82e-05,0.07,0.453,151.779,6VoIBz0VhCyz7OdEoRYDiA,258827
Killing In The Name,Rage Against The Machine,0.466,0.833,-4.215,0.304,0.0266,0.0,0.0327,0.661,88.785,59WN2psjkt1tyaxjspN8fp,313573
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,0.723,0.863,-7.89,0.0338,0.0383,0.0317,0.128,0.931,136.302,2PzU4IB8Dr6mxV3lHuaG34,222813
All Day and All of the Night,The Kinks,0.551,0.86,-7.839,0.0796,0.262,4.57e-06,0.0558,0.723,136.921,78JmElAFmrPNhLjovDR9Jm,141507
Dirty Deeds Done Dirt Cheap,AC/DC,0.668,0.906,-4.881,0.17,0.214,0.00245,0.135,0.507,135.653,2d4e45fmUnguxh6yqC7gNT,231933
American Pie,Don McLean,0.531,0.481,-11.709,0.06,0.699,0.0,0.0842,0.491,138.45,1fDsrQ23eTAVFElUMaf38X,516893
White Wedding - Pt. 1,Billy Idol,0.673,0.814,-5.411,0.0367,0.0133,0.00293,0.343,0.728,147.193,1gzIbdFnGJ226LTl0Cn2SX,252200
Hard To Handle,The Black Crowes,0.599,0.79,-3.58,0.043,0.00257,0.00181,0.312,0.961,103.783,05NYcsjJwOYq4jIiKPVj9p,188067
Black Magic Woman - Single Version,Santana,0.489,0.349,-14.295,0.0323,0.676,0.0789,0.0866,0.622,124.348,4YMQXzscifAREG0a7KNGhB,196467
Last Nite,The Strokes,0.624,0.91,-5.703,0.0297,0.0285,0.000198,0.0789,0.767,104.042,7kzKAuUzOITUauHAhoMoxA,193051
"American Woman - 7"" Single Version",The Guess Who,0.538,0.841,-7.547,0.0375,0.0424,0.00177,0.312,0.881,93.077,0emHuukZSuaOzOlsAWHj2W,231640
In The Air Tonight - 2015 Remastered,Phil Collins,0.446,0.239,-13.945,0.0316,0.551,4.1e-06,0.0697,0.298,189.507,18AXbzPzBS8Y3AkgSxzJPb,336453
Song 2 - 2012 Remaster,Blur,0.674,0.789,-6.903,0.0676,0.00178,0.00708,0.0753,0.918,129.802,1FTSo4v6BOZH9QxKc3MbVM,121160
Take Me Home Tonight,Eddie Money,0.608,0.768,-9.911,0.0364,0.101,1.41e-06,0.0942,0.748,132.699,7b4yGtR0rujvLi5EBfKKJ2,211160
Jump,Van Halen,0.542,0.822,-7.201,0.0291,0.0745,0.00947,0.0645,0.772,130.011,6Fba9RZtC6vTY814JToDtP,239560
Times Like These - Acoustic Version,Foo Fighters,0.588,0.559,-4.849,0.0272,0.128,0.0,0.0977,0.278,123.845,1pXgBjIvALm97lDhroan2E,238587
Walk On the Wild Side,Lou Reed,0.575,0.318,-16.729,0.109,0.683,0.000202,0.0934,0.385,104.522,5p3JunprHCxClJjOmcLV8G,254173
Cult of Personality,Living Colour,0.504,0.918,-3.463,0.0517,0.00164,2.12e-05,0.78,0.539,92.031,5e3YOg6fIkP0wD5TyxcHOH,294827
Black Dog - Remaster,Led Zeppelin,0.437,0.864,-7.842,0.0904,0.396,0.0314,0.242,0.749,81.394,3qT4bUD1MaWpGrTwcvguhb,295387
Are You Gonna Go My Way,Lenny Kravitz,0.619,0.67,-10.322,0.0353,0.00165,0.0109,0.331,0.777,129.269,45Ia1U4KtIjAPPU7Wv1Sea,211933
Where Is My Mind? - Remastered,Pixies,0.519,0.441,-14.178,0.0353,0.0204,0.000453,0.076,0.25,81.334,7wCmS9TTVUcIhRalDYFgPy,234973
What Is Life - Remastered 2014,George Harrison,0.468,0.833,-5.847,0.0324,0.00654,0.000332,0.326,0.884,131.248,76TpWFiK5YCgw1hy26DWZp,264413
Blitzkrieg Bop - 2016 Remaster,Ramones,0.385,0.783,-2.533,0.233,0.000269,0.47,0.108,0.902,176.701,4KcH1ZRV2W1q7Flq0QqC76,134467
Saturday Night’s Alright (For Fighting) - Remastered 2014,Elton John,0.513,0.979,-6.362,0.0425,0.0195,0.0951,0.0906,0.94,152.875,12yHvSYFXI7PGzNecUvIDu,295466
For What It's Worth,Buffalo Springfield,0.653,0.519,-10.164,0.0497,0.406,0.0209,0.101,0.822,98.883,1qRA5BS78u3gME0loMl9AA,153693
Riders on the Storm,The Doors,0.557,0.466,-18.726,0.0311,0.649,0.0635,0.098,0.698,103.938,7HHqR9QNwUU2TIZerV6EzB,434691
Mr. Blue Sky,Electric Light Orchestra,0.388,0.338,-10.054,0.0329,0.652,3.73e-06,0.248,0.478,177.765,2RlgNHKcydI9sayD2Df2xp,303373
Jane Says,Jane's Addiction,0.402,0.597,-9.258,0.0327,0.0385,2.09e-06,0.109,0.496,81.806,7c1Dar0pIAW7w5TzaGjt9t,287000
Slow Ride,Foghat,0.493,0.586,-13.916,0.046,0.0202,0.00106,0.102,0.656,113.618,4MYb7NWLwXNDB7bYs3HeX8,232533
School's Out,Alice Cooper,0.294,0.745,-9.138,0.0461,0.05,0.125,0.676,0.347,134.364,5Z8EDau8uNcP1E8JvmfkZe,210107
Mr. Brightside,The Killers,0.352,0.911,-5.23,0.0747,0.00121,0.0,0.0995,0.236,148.033,003vvx7Niy0yvhvHt4a68B,222973
Detroit Rock City,KISS,0.544,0.893,-7.266,0.0617,0.0409,2.96e-05,0.265,0.459,90.624,3QRbM65aUXmNxRsTZzQKZ3,216693
Starman - 2012 Remaster,David Bowie,0.486,0.449,-10.298,0.0267,0.166,2.23e-06,0.54,0.549,100.456,0pQskrTITgmCMyr85tb9qq,254293
Something In The Way,Nirvana,0.427,0.201,-13.044,0.0317,0.745,0.263,0.109,0.0668,105.218,4gHnSNHs8RyVukKoWdS99f,232147
London Calling - Remastered,The Clash,0.651,0.801,-7.34,0.0514,0.123,0.0,0.0825,0.776,133.769,5jzma6gCzYtKB1DbEwFZKH,200480
Purple Rain - 2015 Paisley Park Remaster,Prince,0.288,0.57,-6.032,0.0322,0.0169,0.00444,0.706,0.167,113.538,1vfvy1Of0iJLDjh5eMfVyI,524653
Lust For Life,Iggy Pop,0.383,0.97,-5.638,0.0435,0.0276,0.0,0.0942,0.62,101.603,21YxK0klhpfLW8budkJaMF,313926
Brass in Pocket - 2006 Remaster,Pretenders,0.751,0.703,-5.687,0.0287,0.368,0.00123,0.196,0.907,97.931,2hvOsGJc6qll4WzW8Ljqc3,185960
Piece of My Heart,Big Brother & The Holding Company,0.443,0.727,-7.951,0.145,0.263,0.000141,0.169,0.566,160.82,1xKQbqQtQWrtQS47fUJBtl,253333
Funk #49,James Gang,0.652,0.94,-7.927,0.0776,0.0398,0.782,0.0567,0.72,91.242,5h6SovHOYpIMlAkafxcbq3,246293
The Spirit Of Radio,Rush,0.365,0.822,-11.572,0.0449,0.0582,0.00119,0.375,0.707,135.679,2mzTm4cxTSMtoyNjLqaG9z,299834
Crazy On You,Heart,0.427,0.459,-12.442,0.0332,0.116,0.000103,0.132,0.383,129.878,5zH710lFSLtkHbMkslLDjR,293440
I Wanna Rock,Twisted Sister,0.504,0.911,-2.97,0.0738,0.00512,0.0123,0.355,0.671,106.244,7hTDjllX5ZqW7XVL4taGtT,179760
All Along the Watchtower,Jimi Hendrix,0.438,0.805,-6.237,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,2aoo2jlRnM3A0NyLQqMN2f,240800
We Got The Beat - 2011 Remaster,The Go-Go's,0.595,0.996,-3.418,0.0599,0.195,0.0345,0.0351,0.376,152.049,5o37x6LpNSec4jSfPIChsQ,151107
Tumbling Dice,The Rolling Stones,0.617,0.905,-4.585,0.0351,0.455,0.578,0.289,0.787,110.957,6GpoY3iuHJY7fcyonia60B,226240
Godzilla,Blue Öyster Cult,0.373,0.869,-7.719,0.0554,0.164,7.76e-06,0.605,0.696,184.024,6N0AnkdDFZUetw8KAGHV7e,221400
Hungry Heart,Bruce Springsteen,0.641,0.894,-7.41,0.0273,0.0857,0.009,0.157,0.972,109.823,1KsI8NEeAna8ZIdojI3FiT,199453
Rebel Yell,Billy Idol,0.53,0.864,-4.948,0.061,0.000753,0.000459,0.354,0.484,166.312,4TIJ7zSBNejpoIPaWpWRKc,288533
RATATA,Skrillex,0.889,0.6,-10.603,0.144,0.0145,0.0,0.08,0.501,123.978,4wteGC0HtLeZWjDcczc4Pw,126774
Marianela (Que Pasa),HUGEL,0.828,0.893,-3.344,0.0496,0.033,0.00535,0.0811,0.602,124.043,5bZjb7xKqLqa58QiUBcVvl,145766
Sorry (with Madonna),BLOND:ISH,0.65,0.783,-8.061,0.0342,0.000577,0.815,0.2,0.507,124.008,5dW0cgZ9uV1W3PXtuTS5uP,161629
Clouds,BUNT.,0.7,0.748,-8.16,0.0771,0.226,0.796,0.104,0.154,130.056,2lWc1iJlz2NVcStV5fbtPG,158761
What You Say?,Young Marco,0.693,0.791,-7.902,0.0508,0.0284,0.00111,0.117,0.293,136.02,22quZFeltYbo325rn3ktTe,204730
Rumble,Skrillex,0.81,0.836,-7.721,0.0645,0.0515,0.229,0.0598,0.0585,139.979,1GfBLbAhZUWdseuDqhocmn,146571
Bel Mercy,Jengi,0.941,0.753,-4.905,0.0905,0.458,0.61,0.109,0.681,127.02,1635wWSdp29PO3GxYhy991,169606
Gimme That Bounce,Mau P,0.801,0.96,-5.534,0.264,0.0284,0.877,0.0985,0.101,126.045,7jURkEKDVEm9sHueqUX0ko,217411
Sacrifice,Kaskade,0.667,0.956,-5.563,0.287,0.00385,0.0184,0.303,0.17,129.991,76YXmewvHFse7tBeOTtSx3,279692
Whistle (feat. Calum Scott),Jax Jones,0.701,0.88,-4.56,0.0358,0.182,7.33e-06,0.0649,0.623,124.039,4q05KbxYZ5JdkmrletgPjF,181958
A Milli - SIDEPIECE Remix,Lil Wayne,0.85,0.927,-4.265,0.0422,0.000192,0.00659,0.0683,0.601,128.004,7nDxeN6NDc7v3v774IXiC5,153750
Oh My (feat. Moby),Luude,0.445,0.902,-5.223,0.114,0.075,6.76e-05,0.225,0.439,171.966,0c6XBVz2evmzERhch4Diew,160116
Serotonin Moonbeams,The Blessed Madonna,0.817,0.876,-7.485,0.046,0.0332,0.199,0.412,0.671,131.022,0hJfuyUwtEYMlGgvr3nzz9,289472
In The Yuma (feat. Aatig),Chris Lake,0.846,0.891,-4.902,0.0652,0.000394,0.803,0.124,0.94,126.029,2e2yKavdT6WQzzMHwNtPFa,156216
Leave Me Like This,Skrillex,0.662,0.96,-4.161,0.0393,0.0029,0.205,0.277,0.3,124.986,7vzWtCVhEKDmDkMmT3AiUL,190080
REACT (feat. Ella Henderson),Switch Disco,0.737,0.899,-3.189,0.0556,0.0329,0.0,0.186,0.358,125.992,1UPHCP5YeVfele4DMbdGyi,201146
Saturday/Sunday,Jason Derulo,0.698,0.781,-5.615,0.0401,0.143,0.0,0.0762,0.851,124.017,2tX3PY8eP3h9XaBcLXuRBa,166573
New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,Gorillaz,0.716,0.897,-7.185,0.0629,0.012,0.262,0.325,0.358,127.03,2c3KCGq6UojB2c8UAFrRON,274142
Work With My Love,Alok,0.618,0.848,-4.329,0.0574,0.0028,0.000714,0.302,0.639,123.967,6PX5CRJFn24G3cypjNO6yw,150484
Oh Laura,SG Lewis,0.789,0.568,-5.084,0.0568,0.0187,0.000409,0.0681,0.899,90.0,2Lq7rOLcBBTvBa86k1YTW0,216018
Luv Me A Little,ILLENIUM,0.478,0.769,-5.092,0.0448,0.168,0.0,0.156,0.157,155.998,1SFA5zEVOsLhEg7ynbvQFT,224615
Strong,Romy,0.582,0.813,-7.443,0.0433,0.143,0.0837,0.349,0.315,133.988,5bF00VrMY3FwnQDgoP4Gnk,234053
Eternity,Anyma,0.606,0.884,-5.897,0.0412,0.00541,0.848,0.102,0.243,125.045,4XzeThE3txvCBIrP40tj85,186285
Heute Nacht,Maddix,0.609,0.912,-6.593,0.0391,0.0196,0.478,0.133,0.0391,135.027,1eMUGMEWrvTXYWrPobq2dH,204444
